epoch,acc,loss,val_acc,val_loss
0,0.8831833333015442,2.3698861229578654,0.9134,1.2365984519958495
1,0.9158333333651225,1.006415180937449,0.9256,0.8340974368095398
2,0.9262333333651225,0.7698055516242981,0.9344,0.6980777364730835
3,0.9340333333015441,0.6708272079467773,0.9402,0.6222489645004272
4,0.9385833333333333,0.6121989700317383,0.9411,0.5796931321144104
5,0.9412166666348776,0.5730328191121419,0.9448,0.5478533159255982
6,0.9439333333651225,0.544720683781306,0.9464,0.5239348556995392
7,0.9453333333333334,0.5227899401664734,0.9479,0.5055428975105286
8,0.9469999999682108,0.5062506974538167,0.9515,0.4886835838317871
9,0.9483333333651225,0.4912937301635742,0.9512,0.47732957334518433
10,0.9492000000317892,0.4798405335744222,0.9518,0.4681841938972473
11,0.9500166666984559,0.4708924943606059,0.9528,0.4635926503658295
12,0.9503666666348776,0.46351362441380817,0.954,0.4518022624969482
13,0.9512166666348775,0.4558790426572164,0.9546,0.44395934476852417
14,0.9519666666666666,0.44889854558308917,0.952,0.4400708219528198
15,0.9528833333333333,0.442726921192805,0.9524,0.43195475330352784
16,0.9530166666666666,0.436152817885081,0.9541,0.4289206515789032
17,0.95275,0.43098033968607585,0.9552,0.42108823704719545
18,0.9534833333651225,0.42608649377822877,0.9539,0.41968052196502686
19,0.9537833333333333,0.42168855829238894,0.9524,0.4158904052734375
